name,lat,lon,elevation_m
KDLN,45.26,-112.55,1597.0
KDLS,45.62,-121.17,74.0
KDMO,38.71,-93.18,274.0
KDNL,33.47,-82.04,125.0
KDPA,41.91,-88.25,231.0
KDRT,29.37,-100.93,307.0
KDSM,41.53,-93.65,294.0
KDSV,42.57,-77.71,209.0
KDTN,32.54,-93.74,55.0
KDTO,33.2,-97.2,201.0
KDTW,42.23,-83.33,195.0
KDUJ,41.18,-78.9,554.0
KDVN,41.61,-90.59,229.0
KDWH,30.07,-95.56,46.0
KDXR,41.37,-73.48,139.0
KDYL,40.33,-75.12,120.0
KEAT,47.4,-120.21,379.0
KEAU,44.87,-91.48,270.0
KEEO,40.05,-107.89,1957.0
KEKN,38.89,-79.85,609.0
KEKO,40.82,-115.79,1367.0
KELD,33.22,-92.81,77.0
KELM,42.16,-76.9,287.0
KELN,47.03,-120.53,538.0
KELY,39.3,-114.85,1909.0
KELZ,42.11,-77.98,639.0
KEMP,38.33,-96.19,368.0
KENW,42.6,-87.94,219.0
KEPH,47.31,-119.51,388.0
KEQY,35.02,-80.62,207.0
KERI,42.08,-80.18,225.0
KESF,31.4,-92.28,25.0
KEST,43.4,-94.75,401.0
KEUF,31.95,-85.13,87.0
KEUG,44.12,-123.21,114.0
KEVV,38.04,-87.52,117.0
KEWB,41.68,-70.96,24.0
KEWN,35.07,-77.05,6.0
KEWR,40.68,-74.17,9.0
KEYE,39.83,-86.3,248.0
KFAR,46.93,-96.81,274.0
KFAT,36.78,-119.72,100.0
KFAY,34.99,-78.88,57.0
KFCM,44.83,-93.46,271.0
KFDR,34.35,-98.99,378.0
KFDY,41.01,-83.67,247.0
KFFC,33.36,-84.57,264.0
KFFT,38.18,-84.9,237.0
KFHR,48.52,-123.02,33.0
KFIG,41.05,-78.41,462.0
KFIT,42.55,-71.76,106.0
KFLD,43.77,-88.49,240.0
KFLG,35.14,-111.67,2137.0
KFLO,34.19,-79.72,45.0
KFNB,40.08,-95.59,304.0
KFNT,42.97,-83.75,233.0
KFOE,38.95,-95.66,329.0
KFOK,40.84,-72.63,20.0
KFRG,40.73,-73.41,25.0
KFSD,43.58,-96.75,429.0
KFSM,35.34,-94.37,141.0
KFST,30.91,-102.92,917.0
KFTW,32.82,-97.36,216.0
KFTY,33.78,-84.52,256.0
KFVE,47.29,-68.31,301.0
KFWA,40.98,-85.19,248.0
KFWN,41.2,-74.62,128.0
KFYV,36.01,-94.17,381.0
KFZY,43.35,-76.38,142.0
KGAG,36.3,-99.78,678.0
KGCC,44.35,-105.54,1230.0
KGCK,37.93,-100.72,881.0
KGCN,35.95,-112.15,2014.0
KGDP,31.83,-104.81,1662.0
KGED,38.69,-75.36,16.0
KGEG,47.62,-117.53,721.0
KGEZ,39.58,-85.8,245.0
KGFK,47.95,-97.18,257.0
KGFL,43.34,-73.61,100.0
KGGG,32.38,-94.71,124.0
KGGW,48.21,-106.62,700.0
KGJT,39.13,-108.54,1475.0
KGKJ,41.63,-80.21,428.0
KGKY,32.66,-97.09,192.0
KGLD,39.37,-101.69,1111.0
KGLH,33.48,-90.99,40.0
KGLR,45.01,-84.7,407.0
KGMU,34.85,-82.35,319.0
KGOK,35.85,-97.42,326.0
KGON,41.33,-72.05,3.0
KGPI,48.3,-114.26,908.0
KGRB,44.48,-88.14,208.0
KGRD,34.25,-82.16,192.0
KGRI,40.97,-98.31,563.0
KGRR,42.88,-85.52,240.0
KGSH,41.53,-85.79,252.0
KGSO,36.1,-79.94,270.0
KGSP,34.91,-82.21,294.0
KGTF,47.47,-111.38,1115.0
KGUP,35.51,-108.79,1972.0
KGUY,36.68,-101.51,952.0
KGVL,34.27,-83.83,38.0
KHAO,39.36,-84.52,188.0
KHBG,31.26,-89.25,46.0
KHBR,34.99,-99.05,477.0
KHDO,29.36,-99.17,283.0
KHEI,46.01,-102.66,828.0
KHFD,41.74,-72.65,6.0
KHGR,39.71,-77.73,215.0
KHIB,47.39,-92.84,412.0
KHIE,44.37,-71.55,319.0
KHIO,45.54,-122.95,62.0
KHKA,35.94,-89.83,78.0
KHKS,32.33,-90.22,104.0
KHKY,35.74,-81.39,362.0
KHLC,39.38,-99.83,678.0
KHLG,40.17,-80.65,365.0
KHLN,46.61,-111.96,1188.0
KHON,44.39,-98.23,384.0
KHOT,34.48,-93.1,165.0
KHOU,29.64,-95.28,14.0
KHPN,41.07,-73.71,134.0
KHQM,46.97,-123.94,4.0
KHRI,45.83,-119.26,195.0
KHRO,36.26,-93.15,416.0
KHSE,35.23,-75.62,3.0
KHSI,40.61,-98.43,592.0
KHSV,34.64,-86.79,196.0
KHTL,44.36,-84.67,351.0
KHTS,38.36,-82.56,255.0
KHUF,39.45,-87.31,179.0
KHUL,46.12,-67.79,150.0
KHUT,38.07,-97.86,470.0
KHVN,41.26,-72.89,4.0
KHVR,48.54,-109.76,792.0
KHWV,40.82,-72.87,25.0
KHYA,41.67,-70.28,16.0
KHYR,46.03,-91.44,370.0
KHZY,41.78,-80.7,276.0
KIAD,38.93,-77.45,98.0
KIAG,43.11,-78.95,180.0
KIAH,29.98,-95.36,28.0
KICR,43.39,-99.84,612.0
KICT,37.65,-97.43,408.0
KIDA,43.51,-112.07,1445.0
KIEN,43.02,-102.51,1009.0
KIJD,41.74,-72.18,76.0
KILG,39.67,-75.6,24.0
KILM,34.27,-77.9,10.0
KILN,39.42,-83.82,322.0
KIML,40.51,-101.62,995.0
KIMT,45.82,-88.11,349.0
KIND,39.71,-86.3,241.0
KINK,31.78,-103.2,859.0
KINL,48.56,-93.4,350.0
KINT,36.13,-80.22,296.0
KINW,35.02,-110.72,1488.0
KIOW,41.64,-91.54,204.0
KIPT,41.24,-76.92,160.0
KIRK,40.1,-92.54,293.0
KISP,40.79,-73.1,30.0
